time,Year,Month,Day,SIE
27/5/2012,2012,5,27,11-Jan-00
28/5/2012,2012,5,28,11-Jan-00
29/5/2012,2012,5,29,11-Jan-00
30/5/2012,2012,5,30,11-Jan-00
31/5/2012,2012,5,31,11-Jan-00
6/1/12,2012,6,1,11-Jan-00
6/2/12,2012,6,2,12-Jan-00
6/3/12,2012,6,3,12-Jan-00
6/4/12,2012,6,4,12-Jan-00
6/5/12,2012,6,5,12-Jan-00
6/6/12,2012,6,6,12-Jan-00
6/7/12,2012,6,7,12-Jan-00
6/8/12,2012,6,8,12-Jan-00
6/9/12,2012,6,9,12-Jan-00
6/10/12,2012,6,10,12-Jan-00
6/11/12,2012,6,11,13-Jan-00
6/12/12,2012,6,12,13-Jan-00
13/6/2012,2012,6,13,13-Jan-00
14/6/2012,2012,6,14,13-Jan-00
15/6/2012,2012,6,15,13-Jan-00
16/6/2012,2012,6,16,13-Jan-00
17/6/2012,2012,6,17,13-Jan-00
18/6/2012,2012,6,18,13-Jan-00
19/6/2012,2012,6,19,13-Jan-00
20/6/2012,2012,6,20,14-Jan-00
21/6/2012,2012,6,21,14-Jan-00
22/6/2012,2012,6,22,14-Jan-00
23/6/2012,2012,6,23,14-Jan-00
24/6/2012,2012,6,24,14-Jan-00
25/6/2012,2012,6,25,14-Jan-00
26/6/2012,2012,6,26,14-Jan-00
27/6/2012,2012,6,27,14-Jan-00
28/6/2012,2012,6,28,14-Jan-00
29/6/2012,2012,6,29,14-Jan-00
30/6/2012,2012,6,30,15-Jan-00
7/1/12,2012,7,1,15-Jan-00
7/2/12,2012,7,2,15-Jan-00
7/3/12,2012,7,3,15-Jan-00
7/4/12,2012,7,4,15-Jan-00
7/5/12,2012,7,5,15-Jan-00
7/6/12,2012,7,6,15-Jan-00
7/7/12,2012,7,7,15-Jan-00
7/8/12,2012,7,8,15-Jan-00
7/9/12,2012,7,9,15-Jan-00
7/10/12,2012,7,10,15-Jan-00
7/11/12,2012,7,11,16-Jan-00
7/12/12,2012,7,12,16-Jan-00
13/7/2012,2012,7,13,16-Jan-00
14/7/2012,2012,7,14,16-Jan-00
15/7/2012,2012,7,15,16-Jan-00
16/7/2012,2012,7,16,16-Jan-00
17/7/2012,2012,7,17,16-Jan-00
18/7/2012,2012,7,18,16-Jan-00
19/7/2012,2012,7,19,16-Jan-00
20/7/2012,2012,7,20,16-Jan-00
21/7/2012,2012,7,21,16-Jan-00
22/7/2012,2012,7,22,16-Jan-00
23/7/2012,2012,7,23,16-Jan-00
24/7/2012,2012,7,24,16-Jan-00
25/7/2012,2012,7,25,17-Jan-00
26/7/2012,2012,7,26,17-Jan-00
27/7/2012,2012,7,27,17-Jan-00
28/7/2012,2012,7,28,17-Jan-00
29/7/2012,2012,7,29,17-Jan-00
30/7/2012,2012,7,30,17-Jan-00
31/7/2012,2012,7,31,17-Jan-00
8/1/12,2012,8,1,17-Jan-00
8/2/12,2012,8,2,17-Jan-00
8/3/12,2012,8,3,17-Jan-00
8/4/12,2012,8,4,17-Jan-00
8/5/12,2012,8,5,17-Jan-00
8/6/12,2012,8,6,17-Jan-00
8/7/12,2012,8,7,17-Jan-00
8/8/12,2012,8,8,17-Jan-00
8/9/12,2012,8,9,17-Jan-00
8/10/12,2012,8,10,17-Jan-00
8/11/12,2012,8,11,18-Jan-00
8/12/12,2012,8,12,18-Jan-00
13/8/2012,2012,8,13,18-Jan-00
14/8/2012,2012,8,14,18-Jan-00
15/8/2012,2012,8,15,18-Jan-00
16/8/2012,2012,8,16,18-Jan-00
17/8/2012,2012,8,17,18-Jan-00
18/8/2012,2012,8,18,18-Jan-00
19/8/2012,2012,8,19,18-Jan-00
20/8/2012,2012,8,20,18-Jan-00
21/8/2012,2012,8,21,18-Jan-00
22/8/2012,2012,8,22,18-Jan-00
23/8/2012,2012,8,23,18-Jan-00
24/8/2012,2012,8,24,18-Jan-00
25/8/2012,2012,8,25,18-Jan-00
26/8/2012,2012,8,26,18-Jan-00
27/8/2012,2012,8,27,18-Jan-00
28/8/2012,2012,8,28,18-Jan-00
29/8/2012,2012,8,29,18-Jan-00
30/8/2012,2012,8,30,18-Jan-00
31/8/2012,2012,8,31,18-Jan-00
9/1/12,2012,9,1,18-Jan-00
9/2/12,2012,9,2,18-Jan-00
9/3/12,2012,9,3,18-Jan-00
9/4/12,2012,9,4,18-Jan-00
9/5/12,2012,9,5,18-Jan-00
9/6/12,2012,9,6,18-Jan-00
9/7/12,2012,9,7,18-Jan-00
9/8/12,2012,9,8,19-Jan-00
9/9/12,2012,9,9,19-Jan-00
9/10/12,2012,9,10,19-Jan-00
9/11/12,2012,9,11,19-Jan-00
9/12/12,2012,9,12,19-Jan-00
13/9/2012,2012,9,13,19-Jan-00
14/9/2012,2012,9,14,19-Jan-00
15/9/2012,2012,9,15,19-Jan-00
16/9/2012,2012,9,16,19-Jan-00
17/9/2012,2012,9,17,19-Jan-00
18/9/2012,2012,9,18,19-Jan-00
19/9/2012,2012,9,19,19-Jan-00
20/9/2012,2012,9,20,19-Jan-00
21/9/2012,2012,9,21,19-Jan-00
22/9/2012,2012,9,22,19-Jan-00
23/9/2012,2012,9,23,19-Jan-00
24/9/2012,2012,9,24,19-Jan-00
25/9/2012,2012,9,25,19-Jan-00
26/9/2012,2012,9,26,19-Jan-00
27/9/2012,2012,9,27,19-Jan-00
28/9/2012,2012,9,28,19-Jan-00
29/9/2012,2012,9,29,19-Jan-00
30/9/2012,2012,9,30,19-Jan-00
10/1/12,2012,10,1,19-Jan-00
10/2/12,2012,10,2,19-Jan-00
10/3/12,2012,10,3,19-Jan-00
10/4/12,2012,10,4,19-Jan-00
10/5/12,2012,10,5,19-Jan-00
10/6/12,2012,10,6,19-Jan-00
10/7/12,2012,10,7,19-Jan-00
10/8/12,2012,10,8,18-Jan-00
10/9/12,2012,10,9,18-Jan-00
10/10/12,2012,10,10,18-Jan-00
10/11/12,2012,10,11,18-Jan-00
10/12/12,2012,10,12,18-Jan-00
13/10/2012,2012,10,13,18-Jan-00
14/10/2012,2012,10,14,18-Jan-00
15/10/2012,2012,10,15,18-Jan-00
16/10/2012,2012,10,16,18-Jan-00
17/10/2012,2012,10,17,18-Jan-00
18/10/2012,2012,10,18,18-Jan-00
19/10/2012,2012,10,19,18-Jan-00
20/10/2012,2012,10,20,18-Jan-00
21/10/2012,2012,10,21,18-Jan-00
22/10/2012,2012,10,22,18-Jan-00
23/10/2012,2012,10,23,18-Jan-00
24/10/2012,2012,10,24,18-Jan-00
25/10/2012,2012,10,25,18-Jan-00
26/10/2012,2012,10,26,18-Jan-00
27/10/2012,2012,10,27,18-Jan-00
28/10/2012,2012,10,28,17-Jan-00
29/10/2012,2012,10,29,17-Jan-00
30/10/2012,2012,10,30,17-Jan-00
31/10/2012,2012,10,31,17-Jan-00
11/1/12,2012,11,1,17-Jan-00
11/2/12,2012,11,2,17-Jan-00
11/3/12,2012,11,3,17-Jan-00
11/4/12,2012,11,4,17-Jan-00
11/5/12,2012,11,5,17-Jan-00
11/6/12,2012,11,6,17-Jan-00
11/7/12,2012,11,7,17-Jan-00
11/8/12,2012,11,8,17-Jan-00
11/9/12,2012,11,9,17-Jan-00
11/10/12,2012,11,10,16-Jan-00
11/11/12,2012,11,11,16-Jan-00
11/12/12,2012,11,12,16-Jan-00
13/11/2012,2012,11,13,16-Jan-00
14/11/2012,2012,11,14,16-Jan-00
15/11/2012,2012,11,15,16-Jan-00
16/11/2012,2012,11,16,16-Jan-00
17/11/2012,2012,11,17,16-Jan-00
18/11/2012,2012,11,18,15-Jan-00
19/11/2012,2012,11,19,15-Jan-00
20/11/2012,2012,11,20,15-Jan-00
21/11/2012,2012,11,21,15-Jan-00
22/11/2012,2012,11,22,15-Jan-00
23/11/2012,2012,11,23,15-Jan-00
24/11/2012,2012,11,24,14-Jan-00
25/11/2012,2012,11,25,14-Jan-00
26/11/2012,2012,11,26,14-Jan-00
27/11/2012,2012,11,27,14-Jan-00
28/11/2012,2012,11,28,14-Jan-00
29/11/2012,2012,11,29,14-Jan-00
30/11/2012,2012,11,30,13-Jan-00
12/1/12,2012,12,1,13-Jan-00
12/2/12,2012,12,2,13-Jan-00
12/3/12,2012,12,3,13-Jan-00
12/4/12,2012,12,4,12-Jan-00
12/5/12,2012,12,5,12-Jan-00
12/6/12,2012,12,6,12-Jan-00
12/7/12,2012,12,7,12-Jan-00
12/8/12,2012,12,8,12-Jan-00
12/9/12,2012,12,9,12-Jan-00
12/10/12,2012,12,10,11-Jan-00
12/11/12,2012,12,11,11-Jan-00
12/12/12,2012,12,12,11-Jan-00
13/12/2012,2012,12,13,11-Jan-00
14/12/2012,2012,12,14,10-Jan-00
15/12/2012,2012,12,15,10-Jan-00
16/12/2012,2012,12,16,10-Jan-00
17/12/2012,2012,12,17,10-Jan-00
18/12/2012,2012,12,18,9-Jan-00
19/12/2012,2012,12,19,9-Jan-00
20/12/2012,2012,12,20,9-Jan-00
21/12/2012,2012,12,21,9-Jan-00
22/12/2012,2012,12,22,9-Jan-00
23/12/2012,2012,12,23,8-Jan-00
24/12/2012,2012,12,24,8-Jan-00
25/12/2012,2012,12,25,8-Jan-00
26/12/2012,2012,12,26,8-Jan-00
27/12/2012,2012,12,27,7-Jan-00
28/12/2012,2012,12,28,7-Jan-00
29/12/2012,2012,12,29,7-Jan-00
30/12/2012,2012,12,30,7-Jan-00
31/12/2012,2012,12,31,7-Jan-00
1/1/13,2013,1,1,7-Jan-00
1/2/13,2013,1,2,6-Jan-00
1/3/13,2013,1,3,6-Jan-00
1/4/13,2013,1,4,6-Jan-00
